地点コード,延床面積(㎡),有効率(%),有効面積(㎡),階層1,階層2,階層3,階層4,階層5,階層1_共込単価(円/㎡),階層1_共込単価(円/坪),階層2_共込単価(円/㎡),階層2_共込単価(円/坪),階層3_共込単価(円/㎡),階層3_共込単価(円/坪),階層4_共込単価(円/㎡),階層4_共込単価(円/坪),階層5_共込単価(円/㎡),階層5_共込単価(円/坪),階層1_有効面積(㎡),階層2_有効面積(㎡),階層3_有効面積(㎡),階層4_有効面積(㎡),階層5_有効面積(㎡),駐車場代単価（円/台）,駐車場台数,緯度,経度,用途,構造・階層,評価書,用途カテゴリ
札幌中央-2,218.7,86.7,189.54,1階：住宅,2～3階：住宅,,,,1775,5868,1810,5983,,,,,,,63.18,63.18,0,0,0,10000,3,43.04180888888889,141.33939694444445,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010002.html,戸建住宅系
札幌中央-3,226.2,87.1,197.04,1階：住宅,2～3階：住宅,,,,1775,5868,1810,5983,,,,,,,65.68,65.68,0,0,0,13000,3,43.04713,141.34455694444446,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010003.html,共同住宅
札幌中央-4,254.88,82.3,209.88,1階：住宅,2階：住宅,3階：住宅,,,1922,6354,1960,6479,1960,6479,,,,,69.96,69.96,69.96,0,0,0,0,43.03636,141.34944305555555,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010004.html,戸建住宅系
札幌中央-6,236.31,87.7,207.15,1階：住宅,2～3階：住宅,,,,1726,5706,1760,5818,,,,,,,69.05,69.05,0,0,0,10000,3,43.075950000000006,141.3301661111111,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010006.html,戸建住宅系
札幌中央-7,259.2,82.6,214.2,1階：住宅,2～3階：住宅,,,,1690,5587,1740,5752,,,,,,,71.4,71.4,0,0,0,8000,1,43.020631944444446,141.3479211111111,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010007.html,戸建住宅系
札幌中央-11,574.3,88,505.6,1階：住宅,2～3階：住宅,4階：住宅,,,1804,5964,1840,6083,1840,6083,,,,,124.9,126.9,126.9,0,0,10000,4,43.027775,141.34254388888888,共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010011.html,戸建住宅系
札幌中央-12,425.24,90.9,386.36,1階：住宅,2～4階：住宅,,,,1910,6314,1970,6512,,,,,,,96.59,96.59,0,0,0,13000,4,43.05248666666667,141.32454333333334,共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010012.html,戸建住宅系
札幌中央-13,414.3,81.5,337.77,1階：住宅,2～3階：住宅,,,,1860,6149,1910,6314,,,,,,,112.59,112.59,0,0,0,10000,5,43.04067694444445,141.3521038888889,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010013.html,戸建住宅系
札幌中央-14,769.2,88.2,678.28,1階：住宅,2～4階：住宅,,,,2020,6678,2060,6810,,,,,,,169.63,169.55,0,0,0,10000,5,43.067566944444444,141.3272511111111,共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010014.html,戸建住宅系
札幌中央-17,689.9,88.2,608.79,1階：住宅,2～4階：住宅,,,,2020,6678,2060,6810,,,,,,,152.22,152.19,0,0,0,12000,5,43.05255388888889,141.33189611111112,共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010017.html,戸建住宅系
札幌中央-19,409.2,89,364.2,1階：住宅,2階：住宅,3階：住宅,,,1930,6380,1990,6579,1990,6579,,,,,121.4,121.4,121.4,0,0,11000,5,43.06099111111111,141.30443305555553,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010019.html,戸建住宅系
札幌中央-20,315.9,87,274.83,1階：住宅,2階：住宅,3階：住宅,,,1790,5917,1810,5983,1810,5983,,,,,89.51,92.66,92.66,0,0,0,0,43.037011111111106,141.33931305555555,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010020.html,戸建住宅系
札幌中央-22,646.5,80.9,523.24,1階：住宅,2～3階：住宅,,,,1775,5868,1810,5983,,,,,,,168.52,177.36,0,0,0,12000,3,43.04353388888889,141.33407694444446,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010022.html,戸建住宅系
札幌中央-24,661.44,85.1,562.62,1階：住宅,2～3階：住宅,,,,1960,6479,2010,6645,,,,,,,187.54,187.54,0,0,0,12000,5,43.06013,141.32147,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010024.html,戸建住宅系
札幌中央-25,598.5,84.9,508.12,1階：住宅,2～3階：住宅,,,,1760,5818,1810,5983,,,,,,,166.18,170.97,0,0,0,9000,5,43.03281111111111,141.3409438888889,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010025.html,戸建住宅系
札幌中央-26,315,85.7,270,1階：住宅,2～3階：住宅,,,,1790,5917,1840,6083,,,,,,,90,90,0,0,0,0,0,43.038451944444446,141.33487888888888,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010026.html,戸建住宅系
札幌中央5-1,18572.88,62.7,11640,地下2階：共同倉庫等,地下1階：店舗,1階：店舗,(一括)2～3階：店舗,4～13階：事務所,,,10000,33058,16000,52893,10000,33058,8200,27107,0,400,320,920,1000,50000,31,43.05860611111111,141.35213805555554,店舗,RC造地下2階地上13階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010501.html,店舗系
札幌中央5-2,4206.03,77.4,3256.69,地下1階：機械室,1階：店舗,2～9階：店舗,,,,,6000,19835,4630,15306,,,,,0,184.29,384.05,0,0,35000,9,43.053578888888886,141.35357611111112,飲食店舗,RC造地下1階地上9階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010502.html,店舗系
札幌中央5-3,6353,73.4,4660.89,1階：店舗,2～10階：事務所,,,,8225,27190,5750,19008,,,,,,,383.28,475.29,0,0,0,30000,32,43.05932388888888,141.347825,店舗兼事務所,RC造地上10階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010503.html,店舗＆事務所
札幌中央5-4,8848.28,83.9,7422.76,地下1階：機械室等,1階：店舗,2～9階：事務所,,,,,7100,23471,6050,20000,,,,,0,530.44,861.54,0,0,30000,64,43.06315194444445,141.35261388888887,店舗兼事務所,RC造地下1階地上9階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010504.html,店舗＆事務所
札幌中央5-5,8439.29,77.9,6576.68,地下1階：店舗及び機械室,1階：店舗,2～6階：事務所,塔屋：階段室等,,3160,10446,4650,15372,3670,12132,,,,,530.44,530.44,1103.16,0,0,25000,67,43.06107111111111,141.3466611111111,店舗兼事務所,RC造地下1階地上6階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010505.html,店舗＆事務所
札幌中央5-6,3322.25,76.2,2532.05,1階：店舗,2階：事務所,3～10階：事務所,,,4720,15603,4050,13388,4050,13388,,,,,175.4,261.85,261.85,0,0,25000,8,43.06301694444445,141.36138805555555,店舗兼事務所,RC造地上10階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010506.html,店舗＆事務所
札幌中央5-7,2518.39,86.1,2169.48,1階：店舗,2～3階：事務所,4～7階：事務所,,,4730,15636,3750,12397,3750,12397,,,,,279.9,314.93,314.93,0,0,18000,18,43.056849722222225,141.3295311111111,店舗兼事務所,RC造地上7階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010507.html,店舗＆事務所
札幌中央5-8,6737,74.7,5035.04,地下1階：機械室,1階：店舗,2～15階：住宅,,,,,3720,12298,2520,8331,,,,,0,268.18,340.49,0,0,22000,37,43.066338055555555,141.35789805555555,店舗兼共同住宅,RC造地下1階地上15階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010508.html,店舗＆共同住宅
札幌中央5-9,1465.97,78.9,1156.57,1階：事務所,2～5階：事務所,,,,4253,14060,3930,12992,,,,,,,174.37,245.55,0,0,0,21000,5,43.057721944444445,141.3358988888889,事務所,RC造地上5階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010509.html,事務所
札幌中央5-10,300,100,300,1階：店舗,,,,,3075,10165,,,,,,,,,300,0,0,0,0,0,0,43.03448694444444,141.34470305555556,店舗,S造地上1階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010510.html,店舗系
札幌中央5-11,723.25,79.9,577.75,1階：事務所,2～6階：事務所,,,,3790,12529,3390,11207,,,,,,,58.75,103.8,0,0,0,20000,4,43.05570888888889,141.3421711111111,事務所,RC造地上6階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010511.html,事務所
札幌中央5-12,2243.25,83.8,1879.25,地下1階：機械室,1階：店舗,2～10階：事務所,,,,,7250,23967,5050,16694,,,,,0,115.25,196,0,0,30000,3,43.058260000000004,141.35405805555556,店舗兼事務所,RC造地下1階地上10階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010512.html,店舗＆事務所
札幌中央5-13,2252.33,81.2,1829.24,1階：店舗,2～7階：事務所,,,,5250,17355,3950,13058,,,,,,,140.96,281.38,0,0,0,20000,7,43.060138888888886,141.35942111111112,店舗兼事務所,RC造地上7階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010513.html,店舗＆事務所
札幌中央5-14,1674.4,82.3,1378.4,1階：店舗,2～5階：事務所,,,,3640,12033,2890,9554,,,,,,,249,282.35,0,0,0,12000,5,43.06518611111112,141.33756888888888,店舗兼事務所,RC造地上5階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010514.html,店舗＆事務所
札幌中央5-15,1999.5,76.2,1522.64,1階：店舗,2～6階：事務所,,,,3900,12893,3200,10579,,,,,,,242.94,255.94,0,0,0,18000,12,43.05075611111111,141.3427361111111,店舗兼事務所,RC造地上6階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010515.html,店舗＆事務所
札幌中央5-16,1010.22,88.6,895.38,1階：店舗,2～3階：住宅,4～6階：住宅,,,3410,11273,2370,7835,2370,7835,,,,,135.93,151.89,151.89,0,0,12000,5,43.05206694444444,141.34666805555557,店舗兼共同住宅,RC造地上6階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010516.html,店舗＆共同住宅
札幌中央5-17,1539.36,95.1,1464.15,1階：店舗,2～9階：住宅,,,,3350,11074,2280,7537,,,,,,,146.63,164.69,0,0,0,15000,9,43.048338055555554,141.35012694444444,店舗兼共同住宅,RC造地上9階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010517.html,店舗＆共同住宅
